Instance;iters;time;rel_primal_res;rel_dual_res;rel_opt_gap;termination
opm2-z10-s4;47792;206,91407990455627;9,993122599104298e-07;0,0;7,922042669989655e-08;OPTIMAL
pb-grow22;44163;325,13831901550293;9,57149851091914e-07;0,0;3,677943184787981e-11;OPTIMAL
piperout-d27;47674;361,06818103790283;9,845096811916901e-10;0,0;9,964723290440068e-07;OPTIMAL
rail507;25594;183,2103340625763;3,9020840483272384e-09;0,0;9,997558712780122e-07;OPTIMAL
s55;71169;574,6413660049438;8,668583909599459e-09;0,0;3,5570663678962023e-07;OPTIMAL
satellites2-25;23038;70,6917290687561;1,4432637574434952e-12;1,1326838257203046e-13;9,958526828839692e-07;OPTIMAL
scpl4;29255;109,4750120639801;1,01001919106114e-07;0,0;8,824825381754239e-07;OPTIMAL
sct5;27076;207,57796597480774;1,0090384635774104e-07;3,203065034453263e-10;2,218070457525758e-07;OPTIMAL
sorrell3;39;0,1110079288482666;7,201824743230389e-07;0,0;7,21429165624793e-08;OPTIMAL
sorrell4;46;0,140578031539917;6,913674590602881e-07;0,0;2,6092035803204466e-08;OPTIMAL
sorrell7;41;0,11518597602844238;1,795126747250464e-08;0,0;1,649548518092315e-09;OPTIMAL
sp97ic;32214;243,04601502418518;9,916835195190842e-07;0,0;3,5674565561667723e-07;OPTIMAL
square31;56731;187,53347492218018;2,635630883540685e-07;1,3953342556836937e-07;9,979009130910017e-07;OPTIMAL
supportcase10;32843;218,23389506340027;1,0319466688280463e-07;0,0;9,729995557134794e-07;OPTIMAL
supportcase43;349;1,1842610836029053;1,8417463613972655e-09;0,0;8,650910507017204e-07;OPTIMAL
t1717;54569;373,9451780319214;6,916121594313651e-07;0,0;9,993138291977633e-07;OPTIMAL
tpl-tub-ss16;82876;459,3448951244354;1,3391124738444058e-07;0,0;3,2312263718052825e-08;OPTIMAL
uccase7;20243;61,22018599510193;9,99988234909813e-07;2,559981797605396e-08;7,048253325287295e-07;OPTIMAL
uccase9;29296;224,94874000549316;9,96360771282002e-07;3,9981654828836525e-08;4,677625699530645e-07;OPTIMAL
van;34409;263,137225151062;1,0184495672827595e-09;0,0;9,631753515156465e-07;OPTIMAL
