Instance,cuPDLP
supportcase23,2312
supportcase37,80025
supportcase39,13960
supportcase40,3068
supportcase41,4887
supportcase42,79447
supportcase43,203
supportcase7,101238
t11nonreg,51096
t1717,77681
t1722,20036
tanglegram4,435
tbfp-network,10553
thor50dday,9758
tpl-tub-ss16,43156
tpl-tub-ws1617,115562
triptim1,79652
triptim2,51441
triptim4,79195
triptim7,79409
triptim8,79566
uccase12,85083
uccase7,24987
uccase8,21357
uccase9,17579
unitcal_7,81051
usafa,13056
v150d30-2hopcds,4360
van,51900
vpphard,1596
wnq-n100-mw99-14,15788
woodlands09,3419
z26,1910
zeil,89279
