Instance,cuPDLP
2club200v15p5scn,713
academictimetablebig,1934
academictimetablesmall,1125
adult-max5features,66664
adult-regularized,6033
allcolor58,901
atlanta-ip,2
bab5,13309
blp-ar98,41134
blp-ic97,26800
blp-ic98,17896
bppc6-02,7736
bppc6-06,7057
brazil3,3643
cdc7-4-3-2,46
chromaticindex1024-7,155
chromaticindex512-7,157
circ10-3,311
cmflsp40-24-10-7,45451
cmflsp40-36-2-10,81931
cmflsp50-24-8-8,12269
cryptanalysiskb128n5obj16,1487
datt256,988
dc1l,12887
ds,66510
dws008-03,133
dws012-01,312
dws012-02,115
dws012-03,164
eilC76-2,11774
eva1aprime6x6opt,13555
ex10,334
ex1010-pi,26305
ex9,302
fast0507,37286
fhnw-binschedule2,24061
fhnw-schedule-paira200,5
fhnw-schedule-paira400,5
fhnw-schedule-pairb200,24
fhnw-schedule-pairb400,44
fiball,3776
genus-sym-g62-2,61
ger50-17-trans-dfn-3t,84593
gfd-schedulen180f7d50m30k18,6307
graph20-80-1rand,342
graph40-20-1rand,283
graph40-40-1rand,475
graph40-80-1rand,533
graphdraw-opmanager,239
highschool1-aigio,962
hypothyroid-k1,26132
iis-hc-cov,6499
in,1782
ivu06,77661
ivu52,30668
k1mushroom,5129
kosova1,1721
map16715-04,2
mushroom-best,3527
n2seq36q,1276
n3div36,1452
n3seq24,2796
neos-1122047,527
neos-1171448,201
neos-1354092,2980
neos-1367061,3975
neos-1593097,1920
neos-2629914-sudost,17
neos-2746589-doon,5721
neos-2978205-isar,634
neos-2991472-kalu,29
neos-3025225-shelon,3730
neos-3209462-rhin,1545
neos-3237086-abava,22
neos-3322547-alsek,3913
neos-3354841-apure,7528
neos-3372571-onahau,23771
neos-3402294-bobin,2109
neos-3755335-nizao,404
neos-3759587-noosa,87
neos-4292145-piako,79253
neos-4295773-pissa,1295
neos-4300652-rahue,652
neos-4321076-ruwer,17134
neos-4322846-ryton,711
neos-4355351-swalm,1024
neos-4359986-taipa,526
neos-4360552-sangro,868
neos-4408804-prosna,41197
neos-4409277-trave,328
neos-4555749-wards,50581
neos-4562542-watut,117230
neos-4647027-thurso,2771
neos-4647030-tutaki,3067
neos-4647032-veleka,4948
neos-4724674-aorere,97914
neos-4954274-beardy,9360
neos-4972437-bojana,32419
neos-4972461-bolong,38472
neos-4976951-bunnoo,59730
neos-498623,5723
neos-5049753-cuanza,596
neos-5052403-cygnet,34995
neos-5076235-embley,2622
neos-5079731-flyers,2185
neos-5083528-gimone,54
neos-5102383-irwell,1879
neos-5104907-jarama,116882
neos-5106984-jizera,1200
neos-5108386-kalang,85002
neos-5114902-kasavu,1024
neos-5116085-kenana,718
neos-5118834-korana,42530
neos-5118851-kowhai,963
neos-5129192-manaia,9656
neos-5138690-middle,99235
neos-5149806-wieprz,307
neos-5188808-nattai,669
neos-5193246-nerang,455
neos-5195221-niemur,621
neos-5196530-nuhaka,450
neos-5221106-oparau,137
neos-5223573-tarwin,1543
neos-5251015-ogosta,2346
neos-525149,317
neos-5266653-tugela,2521
neos-5273874-yomtsa,4203
neos-578379,791
neos-662469,23870
neos-738098,2568
neos-780889,1407
neos-787933,2047
neos-826224,77804
neos-827175,24020
neos-848589,3184
neos-860300,16646
neos-872648,35092
neos-873061,17570
neos-885086,150
neos-885524,96
neos-913984,52
neos-932721,361
neos-933638,503
neos-933966,277
neos-941313,11470
neos-948346,188
neos-950242,881
neos-953928,684
neos-956971,208
neos-957143,760
neos-957323,7158
neos-960392,764
neos6,4293
neos8,11694
neos9,1257
ns1111636,659
ns1116954,140
ns1430538,60373
ns1456591,5228
ns1644855,5239
ns1828997,104
ns1830653,4516
ns1856153,28
ns1904248,25
ns1905797,4371
ns1952667,2052
ns2122698,10867
ns2124243,2001
ns930473,1329
nsrand-ipx,3746
nucorsav,890
nursesched-sprint-hidden09,8308
nursesched-sprint-late03,14270
nursesched-sprint02,2130
opm2-z10-s4,28806
opm2-z8-s0,11318
pb-grow22,101575
piperout-d27,63601
rail507,17794
reblock420,1164
rmatr200-p10,19749
rmatr200-p5,11045
rmine13,43980
rocII-5-11,4843
rocII-8-11,4807
roi5alpha10n8,4876
s100,26794
s250r10,116509
s55,4606
satellites2-25,27266
satellites2-40,5711
satellites2-60-fs,25351
savsched1,505
scpk4,10121
scpl4,20797
scpm1,18388
scpn2,16932
sct5,34363
seqsolve1,10000
seqsolve2short4288,1283
seqsolve3short4288excess384,34454
shipsched,6070
snip10x10-35r1budget17,733
sorrell3,47
sorrell4,39
sorrell7,43
sp97ar,74798
sp97ic,73971
sp98ic,81374
splice1k1,4883
square31,41422
stockholm,10041
supportcase10,40808
supportcase12,11118
supportcase2,241
supportcase23,269
supportcase39,4559
supportcase40,5143
supportcase41,5204
supportcase43,223
t1717,87230
t1722,21948
tanglegram4,380
tbfp-network,11712
thor50dday,4909
tpl-tub-ss16,89748
uccase12,73223
uccase7,33173
uccase8,24296
uccase9,24597
usafa,21862
v150d30-2hopcds,4996
van,28928
vpphard,1592
wnq-n100-mw99-14,13949
woodlands09,2954
z26,1651
