Instance;iters;time;rel_primal_res;rel_dual_res;rel_opt_gap;termination
adult-max5features;53661;186,63309407234192;1,3419724479779194e-07;0,0;9,99595208997894e-07;OPTIMAL
bab5;12217;95,10575795173645;9,98310483169007e-07;0,0;8,976348416653902e-08;OPTIMAL
cdc7-4-3-2;37;0,10283803939819336;1,20899642630512e-07;0,0;9,43203502991432e-07;OPTIMAL
chromaticindex1024-7;287;1,142266035079956;5,901755995019187e-07;0,0;9,934831606426494e-07;OPTIMAL
chromaticindex512-7;161;0,4497489929199219;7,505127614937379e-07;0,0;1,932778346058833e-07;OPTIMAL
circ10-3;383;3,2419729232788086;2,1509872709590144e-07;0,0;9,91608091186463e-07;OPTIMAL
cmflsp40-24-10-7;24016;152,62963795661926;5,068723594372746e-07;0,0;9,96355036031881e-07;OPTIMAL
cmflsp40-36-2-10;28773;88,51259088516235;9,999551698984475e-07;0,0;6,129472258519374e-07;OPTIMAL
ds;47030;190,90651082992554;4,896739295712216e-07;0,0;9,998222622307792e-07;OPTIMAL
dws008-03;213;0,5931580066680908;2,9591213748197537e-09;1,2875949741456665e-16;6,410628974951111e-08;OPTIMAL
dws012-02;214;1,3656258583068848;3,602947137312021e-08;1,4772617739460018e-11;7,470437626829554e-07;OPTIMAL
dws012-03;288;1,6772549152374268;1,4094553491070835e-09;1,0365882661974688e-12;1,2831123985700553e-07;OPTIMAL
ex10;936;4,641268014907837;1,6429579319243715e-07;0,0;8,847021148484111e-07;OPTIMAL
ex9;609;2,9149329662323;2,3494661394174443e-07;0,0;9,266482360695897e-07;OPTIMAL
fhnw-schedule-paira200;121;0,3557620048522949;2,748084089180657e-19;0,0;4,0132626179143815e-08;OPTIMAL
fhnw-schedule-paira400;191;0,5729269981384277;1,1046998669104289e-18;0,0;9,568902028386176e-07;OPTIMAL
fhnw-schedule-pairb200;186;1,3566880226135254;2,6648210692709347e-16;0,0;1,7651754106367435e-07;OPTIMAL
fhnw-schedule-pairb400;478;2,9759469032287598;7,105603145792645e-16;0,0;6,589572342818529e-08;OPTIMAL
genus-sym-g62-2;160;1,015367031097412;9,12317086765313e-07;0,0;5,8418659822884755e-09;OPTIMAL
ger50-17-trans-dfn-3t;56053;401,11542296409607;5,5510442050696175e-09;4,2384156855995923e-07;9,999410841922912e-07;OPTIMAL
graph20-80-1rand;738;3,171057939529419;9,698819669982466e-07;0,0;2,854295901746304e-07;OPTIMAL
graph40-20-1rand;560;2,7559268474578857;7,684418945608229e-07;0,0;1,4786935749091073e-08;OPTIMAL
graph40-40-1rand;1039;6,047482967376709;8,450368904252178e-07;0,0;1,946855515184719e-08;OPTIMAL
ivu52;98214;600,0026519298553;0,00014131976237058942;0,0;8,641076075349483e-08;TIME_LIMIT
neos-1171448;360;2,5136070251464844;2,5428672471412045e-09;9,253631637705688e-07;5,70318256681426e-09;OPTIMAL
neos-2629914-sudost;34;1,3661580085754395;8,28588567258759e-07;0,0;1,3711917058882077e-08;OPTIMAL
neos-2991472-kalu;148;0,42806506156921387;9,090844890544338e-09;0,0;2,271335690120686e-08;OPTIMAL
