Instance,cuPDLP
2club200v15p5scn,1051
academictimetablebig,3214
academictimetablesmall,2090
adult-max5features,71781
adult-regularized,5804
allcolor58,663
atlanta-ip,2250
bab5,11777
blp-ar98,29061
blp-ic97,22491
blp-ic98,8486
bppc6-02,7853
bppc6-06,7640
brazil3,4726
cdc7-4-3-2,37
chromaticindex1024-7,170
chromaticindex512-7,161
circ10-3,352
cmflsp40-24-10-7,43690
cmflsp40-36-2-10,29844
cmflsp50-24-8-8,17559
cryptanalysiskb128n5obj16,1073
datt256,1215
dc1l,1105
ds,55151
dws008-03,213
dws012-01,415
dws012-02,155
dws012-03,225
eilC76-2,7806
eva1aprime6x6opt,5004
ex10,422
ex1010-pi,1059
ex9,336
fast0507,1034
fhnw-binschedule2,17114
fhnw-schedule-paira200,121
fhnw-schedule-paira400,191
fhnw-schedule-pairb200,251
fhnw-schedule-pairb400,388
fiball,3802
genus-sym-g62-2,136
ger50-17-trans-dfn-3t,24674
gfd-schedulen180f7d50m30k18,5680
graph20-80-1rand,311
graph40-20-1rand,305
graph40-40-1rand,399
graph40-80-1rand,696
graphdraw-opmanager,427
highschool1-aigio,1026
hypothyroid-k1,10055
iis-hc-cov,1088
in,2742
ivu06,103487
ivu52,49678
k1mushroom,2703
kosova1,2721
map16715-04,4464
mushroom-best,4628
n2seq36q,1049
n3div36,1034
n3seq24,1047
neos-1122047,1253
neos-1171448,324
neos-1354092,4389
neos-1367061,1483
neos-1593097,3453
neos-2629914-sudost,34
neos-2746589-doon,6016
neos-2978205-isar,898
neos-2991472-kalu,148
neos-3025225-shelon,1796
neos-3209462-rhin,2476
neos-3237086-abava,80
neos-3322547-alsek,4892
neos-3354841-apure,1092
neos-3372571-onahau,26713
neos-3402294-bobin,3025
neos-3740487-motru,755
neos-3755335-nizao,430
neos-3759587-noosa,189
neos-4292145-piako,10596
neos-4295773-pissa,2219
neos-4300652-rahue,841
neos-4321076-ruwer,11685
neos-4322846-ryton,970
neos-4355351-swalm,2202
neos-4359986-taipa,1809
neos-4360552-sangro,630
neos-4408804-prosna,15104
neos-4409277-trave,576
neos-4555749-wards,46774
neos-4562542-watut,146729
neos-4647027-thurso,7518
neos-4647030-tutaki,2749
neos-4647032-veleka,5992
neos-4724674-aorere,41935
neos-4954274-beardy,12205
neos-4972437-bojana,19766
neos-4972461-bolong,40328
neos-4976951-bunnoo,30153
neos-498623,6379
neos-5049753-cuanza,611
neos-5052403-cygnet,36208
neos-5076235-embley,4010
neos-5079731-flyers,4620
neos-5083528-gimone,244
neos-5102383-irwell,3081
neos-5104907-jarama,2173
neos-5106984-jizera,2039
neos-5108386-kalang,65633
neos-5114902-kasavu,818
neos-5116085-kenana,936
neos-5118834-korana,95969
neos-5118851-kowhai,943
neos-5129192-manaia,18385
neos-5138690-middle,1379
neos-5149806-wieprz,242
neos-5188808-nattai,525
neos-5193246-nerang,401
neos-5195221-niemur,369
neos-5196530-nuhaka,427
neos-5221106-oparau,209
neos-5223573-tarwin,2522
neos-5251015-ogosta,3124
neos-525149,499
neos-5266653-tugela,3788
neos-5273874-yomtsa,5125
neos-578379,1927
neos-662469,16470
neos-738098,2668
neos-780889,2625
neos-787933,1027
neos-826224,74060
neos-827175,69131
neos-848589,3252
neos-860300,29078
neos-872648,14596
neos-873061,18953
neos-885086,397
neos-885524,64
neos-913984,84
neos-932721,573
neos-933638,638
neos-933966,421
neos-941313,3127
neos-948346,1411
neos-950242,1051
neos-953928,1816
neos-956971,423
neos-957143,834
neos-957323,7390
neos-960392,1946
neos6,4666
neos8,13175
neos9,712
ns1111636,730
ns1116954,778
ns1430538,33823
ns1456591,19545
ns1644855,12992
ns1828997,192
ns1830653,5171
ns1856153,124
ns1904248,57
ns1905797,4915
ns1952667,1076
ns2122698,8558
ns2124243,7815
nsrand-ipx,5632
nucorsav,2439
nursesched-sprint-hidden09,8169
nursesched-sprint-late03,11505
nursesched-sprint02,2665
opm2-z10-s4,31199
opm2-z8-s0,27322
pb-grow22,12822
piperout-d27,44960
rail507,1243
reblock420,4279
rmatr200-p10,7597
rmatr200-p5,3966
rmine13,16288
rocII-5-11,5004
rocII-8-11,5732
roi5alpha10n8,10251
s100,1006
s250r10,5642
s55,26793
satellites2-25,9552
satellites2-40,15535
satellites2-60-fs,10477
savsched1,609
scpk4,1234
scpl4,1107
scpm1,1132
scpn2,1024
sct5,20183
seqsolve1,10793
seqsolve2short4288,2884
seqsolve3short4288excess384,13678
shipsched,11400
snip10x10-35r1budget17,2369
sorrell3,39
sorrell4,46
sorrell7,41
sp97ar,1198
sp97ic,1061
sp98ic,1286
splice1k1,13103
square31,90723
stockholm,20664
supportcase10,39586
supportcase12,32525
supportcase2,574
supportcase23,2429
supportcase39,1071
supportcase40,7326
supportcase41,1178
supportcase43,349
t1717,28906
t1722,14076
tanglegram4,524
tbfp-network,10015
thor50dday,9925
tpl-tub-ss16,79681
uccase12,47736
uccase7,25129
uccase8,22218
uccase9,2175
usafa,1672
v150d30-2hopcds,1035
van,1830
vpphard,1060
wnq-n100-mw99-14,10547
woodlands09,3703
z26,3158
