Instance;cuPDLP; a-indep,
2club200v15p5scn;3,415342092514038;3,415342092514038
30n20b8;600,45139503479;600,45139503479
academictimetablebig;11,276189804077148;11,276189804077148
academictimetablesmall;9,622115135192871;9,622115135192871
adult-max5features;394,1825499534607;394,1825499534607
adult-regularized;103,41327500343323;103,41327500343323
allcolor58;3,5219759941101074;3,5219759941101074
app1-2;600,0010859966278;600,0010859966278
atlanta-ip;441,45218110084534;441,45218110084534
bab1;66,10067915916443;66,10067915916443
bab2;600,0021131038666;600,0021131038666
bab3;600,0026848316193;600,0026848316193
bab5;245,12517595291138;245,12517595291138
bab6;600,0033581256866;600,0033581256866
blp-ar98;86,25572896003723;86,25572896003723
blp-ic97;121,95658111572266;121,95658111572266
blp-ic98;89,26124811172485;89,26124811172485
bppc6-02;71,26176285743713;71,26176285743713
bppc6-06;83,20815992355347;83,20815992355347
brazil3;59,14251208305359;59,14251208305359
buildingenergy;404,68328285217285;404,68328285217285
cdc7-4-3-2;0,1717081069946289;0,1717081069946289
chromaticindex1024-7;1,0527739524841309;1,0527739524841309
chromaticindex512-7;0,7687311172485352;0,7687311172485352
ci-s4;600,0005300045013;600,0005300045013
circ10-3;1,728262186050415;1,728262186050415
cmflsp40-24-10-7;358,1032609939575;358,1032609939575
cmflsp40-36-2-10;210,67694091796875;210,67694091796875
cmflsp50-24-8-8;98,40462112426758;98,40462112426758
cmflsp60-36-2-6;193,19910287857056;193,19910287857056
co-100;600,0077550411224;600,0077550411224
cryptanalysiskb128n5obj16;7,814465045928955;7,814465045928955
d20200;600,0048558712006;600,0048558712006
datt256;11,671627044677734;11,671627044677734
dc1l;76,52241706848145;76,52241706848145
dlr1;600,011981010437;600,011981010437
ds;359,3796079158783;359,3796079158783
ds-big;600,0027010440826;600,0027010440826
dws008-03;1,0423121452331543;1,0423121452331543
dws012-01;2,087333917617798;2,087333917617798
dws012-02;0,9827790260314941;0,9827790260314941
dws012-03;1,136573076248169;1,136573076248169
eilA101-2;41,70230197906494;41,70230197906494
eilC76-2;53,67297697067261;53,67297697067261
eva1aprime6x6opt;70,28422021865845;70,28422021865845
ex10;1,8646159172058105;1,8646159172058105
