Instance;iters;time;rel_primal_res;rel_dual_res;rel_opt_gap;termination
opm2-z10-s4;40365;171,0325448513031;9,983481647004637e-07;0,0;2,790124534959566e-07;OPTIMAL
pb-grow22;81515;600,0033249855042;2,541888802372528e-05;0,0;6,285735709696335e-09;TIME_LIMIT
piperout-d27;75986;598,773313999176;1,2195707400461728e-09;0,0;9,972935380989201e-07;OPTIMAL
rail507;14253;92,68612813949585;3,345738953005894e-08;0,0;3,631099391552241e-07;OPTIMAL
s55;8981;78,99910807609558;5,1176985962663844e-08;0,0;9,58031553248836e-07;OPTIMAL
satellites2-25;12377;47,625219106674194;1,0457159709535298e-11;7,279172368034068e-15;9,916205955809026e-07;OPTIMAL
scpl4;18168;81,43915891647339;9,997692590468787e-07;0,0;5,434964930199247e-07;OPTIMAL
sct5;38824;304,1261990070343;5,177065718640813e-08;3,874431118669295e-10;9,36212466762907e-08;OPTIMAL
sorrell3;39;0,10907411575317383;7,201824743230389e-07;0,0;7,21429165624793e-08;OPTIMAL
sorrell4;46;0,1380918025970459;6,913674590602881e-07;0,0;2,6092035803204466e-08;OPTIMAL
sorrell7;41;0,1122291088104248;1,795126747250464e-08;0,0;1,649548518092315e-09;OPTIMAL
sp97ic;39782;324,91244983673096;9,912589279268467e-07;0,0;1,5057462862997298e-07;OPTIMAL
square31;73215;373,2054588794708;7,227143779542367e-07;3,762456771438231e-07;8,030130778239603e-07;OPTIMAL
supportcase10;37244;254,39674282073975;3,366733838691665e-07;0,0;9,995697270657362e-07;OPTIMAL
supportcase43;241;1,7698190212249756;2,7436475781148782e-09;0,0;5,782714178626356e-07;OPTIMAL
t1717;23735;160,9867868423462;6,903578189110249e-07;0,0;9,997244498183098e-07;OPTIMAL
tpl-tub-ss16;49260;287,57187604904175;9,522926818534521e-08;0,0;5,773495954291683e-07;OPTIMAL
uccase7;95181;302,5100908279419;4,3354491450464026e-08;3,109600166415245e-08;9,822243864434195e-07;OPTIMAL
uccase9;9681;79,37378692626953;3,0189125717425963e-07;1,0132452155623329e-07;9,980338651805819e-07;OPTIMAL
van;75279;600,002002954483;3,0372655559182824e-10;0,0;0,005965412492801981;TIME_LIMIT
