Instance;iters;time;rel_primal_res;rel_dual_res;rel_opt_gap;termination
adult-max5features;72459;566,580559015274;6,360688472435726e-09;0,0;6,786049360787577e-07;OPTIMAL
bab5;13084;110,38930106163025;9,951118429539342e-07;0,0;2,4800711189635685e-07;OPTIMAL
cdc7-4-3-2;37;0,09795999526977539;1,20899642630512e-07;0,0;9,43203502991432e-07;OPTIMAL
chromaticindex1024-7;170;0,45594096183776855;5,664000539017879e-08;0,0;7,757177280329708e-07;OPTIMAL
chromaticindex512-7;161;0,4310891628265381;7,505127614937379e-07;0,0;1,932778346058833e-07;OPTIMAL
circ10-3;352;1,0320000648498535;4,999662600557394e-07;0,0;9,483161325848406e-07;OPTIMAL
cmflsp40-24-10-7;61884;475,34201192855835;9,971575759471272e-07;0,0;6,104412430838438e-07;OPTIMAL
cmflsp40-36-2-10;19256;172,27378511428833;9,985165561650524e-07;0,0;7,690191372027409e-07;OPTIMAL
ds;45177;339,87725806236267;2,53922166848497e-07;0,0;9,99905397566677e-07;OPTIMAL
dws008-03;213;0,605820894241333;2,9591213748197537e-09;1,2875949741456665e-16;6,410628974951111e-08;OPTIMAL
dws012-02;155;0,4167490005493164;2,52947028841114e-10;8,64723514911438e-11;8,714145094912288e-07;OPTIMAL
dws012-03;225;0,6539020538330078;4,25002490065444e-08;4,911845251165664e-13;8,141606313657032e-07;OPTIMAL
ex10;422;1,2613608837127686;9,376482252854146e-07;0,0;8,356476561066579e-07;OPTIMAL
ex9;336;0,998258113861084;2,2290699908111833e-07;0,0;9,230061729592496e-07;OPTIMAL
fhnw-schedule-paira200;121;0,31914687156677246;2,748084089180657e-19;0,0;4,0132626179143815e-08;OPTIMAL
fhnw-schedule-paira400;191;0,5256199836730957;1,1046998669104289e-18;0,0;9,568902028386176e-07;OPTIMAL
fhnw-schedule-pairb200;251;0,7410151958465576;5,329642138541869e-16;0,0;0,0;OPTIMAL
fhnw-schedule-pairb400;388;1,2516279220581055;6,217402752568564e-16;0,0;0,0;OPTIMAL
genus-sym-g62-2;136;0,3619801998138428;7,560946569951099e-07;0,0;1,8007205444668948e-07;OPTIMAL
ger50-17-trans-dfn-3t;66053;600,0015969276428;1,5576448123086322e-10;2,50004138601509e-05;3,5538949196952827e-07;TIME_LIMIT
graph20-80-1rand;311;0,9212720394134521;8,713325863792439e-07;0,0;1,9635121411599435e-07;OPTIMAL
graph40-20-1rand;305;0,9099738597869873;3,590604267245112e-07;0,0;2,451628994243823e-07;OPTIMAL
graph40-40-1rand;399;1,1224861145019531;8,385493465157268e-07;0,0;8,187988827366483e-09;OPTIMAL
ivu52;32882;226,91086292266846;9,890013195539183e-07;0,0;6,071266667553595e-08;OPTIMAL
neos-1171448;324;0,9534461498260498;3,307141282263011e-08;8,925581418258993e-07;8,381605990227442e-09;OPTIMAL
neos-2629914-sudost;34;1,3440351486206055;8,28588567258759e-07;0,0;1,3711917058882077e-08;OPTIMAL
neos-2991472-kalu;148;0,41586995124816895;9,090844890544338e-09;0,0;2,271335690120686e-08;OPTIMAL
neos-3237086-abava;80;0,21567893028259277;2,948734073227834e-10;0,0;4,5692488687763326e-07;OPTIMAL
neos-3755335-nizao;430;1,1744730472564697;1,1698786174868862e-08;0,0;1,8184786288679437e-07;OPTIMAL
neos-3759587-noosa;189;0,5131618976593018;5,789712062252222e-08;0,0;8,688714387332556e-07;OPTIMAL
neos-4408804-prosna;18012;77,33908891677856;9,966491303971994e-07;1,56069961348021e-08;3,2774145301740327e-07;OPTIMAL
neos-4562542-watut;118148;536,1480929851532;9,491230683428919e-07;7,536434764569452e-14;1,7733791834514813e-07;OPTIMAL
neos-4647027-thurso;7171;60,81165909767151;2,6059645390717226e-08;2,8390260201621327e-10;9,933436008226169e-07;OPTIMAL
neos-4647032-veleka;6671;99,2746410369873;3,0565610866508062e-09;1,0120511705778354e-10;9,99661171669026e-07;OPTIMAL
neos-4724674-aorere;99927;600,0033750534058;4,440516519441341e-09;1,5163261730388777e-06;0,0014625039297814111;TIME_LIMIT
neos-4976951-bunnoo;38995;229,58004212379456;1,503427007298042e-07;9,998309218081124e-07;8,01112281764009e-07;OPTIMAL
neos-5052403-cygnet;31871;151,91313481330872;9,97968238565979e-07;0,0;4,979711453597938e-07;OPTIMAL
neos-5083528-gimone;244;0,6969969272613525;1,2950156312981796e-08;6,684848358476261e-14;7,750797604742234e-07;OPTIMAL
neos-5104907-jarama;137853;600,0000419616699;5,014865385911631e-06;3,1681333114549244e-10;1,2617935573460788e-07;TIME_LIMIT
neos-5129192-manaia;24076;132,8415560722351;2,3249652708107698e-10;0,0;7,121004311600117e-07;OPTIMAL
