Metric,# Success,"SGMdict_values([10, 1000, 0.01])"
iters,73,4821.406914618552
time,73,32.28899164429545
rel_primal_res,73,3.6317621524353805e-07
rel_dual_res,73,6.199230146927692e-08
rel_opt_gap,73,5.278246370012118e-07
