Instance;cuPDLP
2club200v15p5scn;2,7103731632232666
academictimetablebig;7,10964298248291
academictimetablesmall;4,463484048843384
adult-max5features;600,0060501098633
adult-regularized;132,7755708694458
allcolor58;2,264357089996338
atlanta-ip;600,0031969547272
bab5;171,4245069026947
blp-ar98;238,56144404411316
blp-ic97;297,12834906578064
blp-ic98;239,20283389091492
bppc6-02;258,4624969959259
bppc6-06;90,0585789680481
brazil3;123,24154090881348
cdc7-4-3-2;0,0999898910522461
chromaticindex1024-7;0,48009800910949707
chromaticindex512-7;0,4308290481567383
circ10-3;0,9429299831390381
cmflsp40-24-10-7;460,7620589733124
cmflsp40-36-2-10;390,6449911594391
cmflsp50-24-8-8;164,77377891540527
cryptanalysiskb128n5obj16;4,117450952529907
datt256;4,172091007232666
dc1l;648,642245054245
ds;454,2251789569855
dws008-03;0,6416089534759521
dws012-01;1,1268229484558105
dws012-02;0,42394280433654785
dws012-03;0,6632130146026611
eilC76-2;104,08471417427063
eva1aprime6x6opt;150,0657229423523
ex10;1,1658060550689697
ex1010-pi;643,4686419963837
ex9;0,9089257717132568
fast0507;635,692046880722
fhnw-binschedule2;182,64380598068237
fhnw-schedule-paira200;0,32466697692871094
fhnw-schedule-paira400;0,5320219993591309
fhnw-schedule-pairb200;0,7725040912628174
fhnw-schedule-pairb400;1,162283182144165
fiball;9,177343130111694
genus-sym-g62-2;0,3723490238189697
ger50-17-trans-dfn-3t;181,6778199672699
gfd-schedulen180f7d50m30k18;630,1986980438232
graph20-80-1rand;0,9315400123596191
graph40-20-1rand;0,9206368923187256
graph40-40-1rand;1,1453959941864014
graph40-80-1rand;2,7470669746398926
graphdraw-opmanager;1,1524100303649902
highschool1-aigio;3,4585371017456055
hypothyroid-k1;227,83730912208557
iis-hc-cov;27,37600088119507
in;25,240827083587646
ivu06;600,0035429000854
ivu52;600,0046999454498
k1mushroom;7,941699028015137
kosova1;5,385864973068237
map16715-04;639,8330838680267
mushroom-best;50,99632716178894
n2seq36q;2,787261962890625
n3div36;4,707902193069458
n3seq24;16,764302968978882
neos-1122047;109,59320902824402
neos-1171448;0,8599250316619873
neos-1354092;134,51185202598572
neos-1367061;19,780569076538086
neos-1593097;3,6677350997924805
neos-2629914-sudost;1,3931879997253418
neos-2746589-doon;647,9356660842896
neos-2978205-isar;2,6613831520080566
neos-2991472-kalu;0,42028117179870605
neos-3025225-shelon;643,1619379520416
neos-3209462-rhin;6,775628089904785
neos-3237086-abava;0,21826696395874023
neos-3322547-alsek;104,67522120475769
neos-3354841-apure;469,0469980239868
neos-3372571-onahau;288,7007761001587
neos-3402294-bobin;7,531031847000122
neos-3740487-motru;9,13889217376709
neos-3755335-nizao;1,1894090175628662
neos-3759587-noosa;0,5252530574798584
neos-4292145-piako;655,4899199008942
neos-4295773-pissa;5,003636121749878
neos-4300652-rahue;2,3324129581451416
neos-4321076-ruwer;96,85095882415771
neos-4322846-ryton;2,9921061992645264
neos-4355351-swalm;3,4057719707489014
neos-4359986-taipa;3,3684868812561035
neos-4360552-sangro;1,7867460250854492
neos-4408804-prosna;187,64295506477356
neos-4409277-trave;1,5792791843414307
neos-4555749-wards;521,3380851745605
neos-4562542-watut;486,26895689964294
neos-4647027-thurso;101,96044707298279
neos-4647030-tutaki;128,75374603271484
neos-4647032-veleka;125,97318696975708
neos-4724674-aorere;240,54372310638428
neos-4954274-beardy;138,31553888320923
neos-4972437-bojana;265,5778250694275
neos-4972461-bolong;600,0031270980835
neos-4976951-bunnoo;311,8981719017029
neos-498623;120,38717103004456
neos-5049753-cuanza;2,1889660358428955
neos-5052403-cygnet;469,7845129966736
neos-5076235-embley;6,002855062484741
neos-5079731-flyers;5,089915990829468
