Instance,cuPDLP
2club200v15p5scn,1051
academictimetablebig,3236
academictimetablesmall,2121
adult-max5features,76252
adult-regularized,7261
allcolor58,663
atlanta-ip,2250
bab5,10174
blp-ar98,24422
blp-ic97,26310
blp-ic98,10286
bppc6-02,7610
bppc6-06,16071
brazil3,2900
cdc7-4-3-2,37
chromaticindex1024-7,170
chromaticindex512-7,161
circ10-3,352
cmflsp40-24-10-7,50674
cmflsp40-36-2-10,24692
cmflsp50-24-8-8,13311
cryptanalysiskb128n5obj16,1072
datt256,1215
dc1l,16685
ds,43759
dws008-03,213
dws012-01,415
dws012-02,155
dws012-03,225
eilC76-2,1719
eva1aprime6x6opt,5148
ex10,422
ex1010-pi,1059
ex9,336
fast0507,1034
fhnw-binschedule2,34331
fhnw-schedule-paira200,121
fhnw-schedule-paira400,191
fhnw-schedule-pairb200,251
fhnw-schedule-pairb400,388
fiball,3791
genus-sym-g62-2,136
ger50-17-trans-dfn-3t,12377
gfd-schedulen180f7d50m30k18,9682
graph20-80-1rand,311
graph40-20-1rand,305
graph40-40-1rand,399
graph40-80-1rand,696
graphdraw-opmanager,427
highschool1-aigio,1026
hypothyroid-k1,11212
iis-hc-cov,1088
in,2997
ivu06,114531
ivu52,29238
k1mushroom,4793
kosova1,2491
map16715-04,4464
mushroom-best,5266
n2seq36q,1049
n3div36,1034
n3seq24,1047
neos-1122047,1059
neos-1171448,324
neos-1354092,6873
neos-1367061,3447
neos-1593097,3145
neos-2629914-sudost,34
neos-2746589-doon,8144
neos-2978205-isar,898
neos-2991472-kalu,148
neos-3025225-shelon,2048
neos-3209462-rhin,3335
neos-3237086-abava,80
neos-3322547-alsek,4863
neos-3354841-apure,1092
neos-3372571-onahau,30053
neos-3402294-bobin,2221
neos-3740487-motru,755
neos-3755335-nizao,430
neos-3759587-noosa,189
neos-4292145-piako,10123
neos-4295773-pissa,2177
neos-4300652-rahue,841
neos-4321076-ruwer,20148
neos-4322846-ryton,970
neos-4355351-swalm,1998
neos-4359986-taipa,1100
neos-4360552-sangro,630
neos-4408804-prosna,30380
neos-4409277-trave,576
neos-4555749-wards,60159
neos-4562542-watut,98586
neos-4647027-thurso,7468
neos-4647030-tutaki,2603
neos-4647032-veleka,5528
neos-4724674-aorere,14122
neos-4954274-beardy,11211
neos-4972437-bojana,35699
neos-4972461-bolong,43564
neos-4976951-bunnoo,25848
neos-498623,4167
neos-5049753-cuanza,611
neos-5052403-cygnet,1052
neos-5076235-embley,3460
neos-5079731-flyers,3380
neos-5083528-gimone,244
neos-5102383-irwell,2799
neos-5104907-jarama,19218
neos-5106984-jizera,2205
neos-5108386-kalang,42896
neos-5114902-kasavu,818
neos-5116085-kenana,936
neos-5118834-korana,97105
neos-5118851-kowhai,943
neos-5129192-manaia,16119
neos-5138690-middle,43528
neos-5149806-wieprz,242
neos-5188808-nattai,525
neos-5193246-nerang,401
neos-5195221-niemur,369
neos-5196530-nuhaka,427
neos-5221106-oparau,209
neos-5223573-tarwin,3230
neos-5251015-ogosta,3290
neos-525149,499
neos-5266653-tugela,2576
neos-5273874-yomtsa,4788
neos-578379,1924
neos-662469,25223
neos-738098,2493
neos-780889,2487
neos-787933,1027
neos-826224,60484
neos-827175,76983
neos-848589,3994
neos-860300,25878
neos-872648,20435
neos-873061,19327
neos-885086,397
neos-885524,64
neos-913984,84
neos-932721,573
neos-933638,638
neos-933966,421
neos-941313,3130
neos-948346,1425
neos-950242,1051
neos-953928,1816
neos-956971,423
neos-957143,834
neos-957323,5566
neos-960392,1812
neos6,17760
neos8,13295
neos9,712
ns1111636,730
ns1116954,778
ns1430538,73930
ns1456591,16436
ns1644855,16401
ns1828997,192
ns1830653,4962
ns1856153,124
ns1904248,57
ns1905797,5370
ns1952667,1076
ns2122698,13192
ns2124243,3499
nsrand-ipx,3474
nucorsav,3006
nursesched-sprint-hidden09,9650
nursesched-sprint-late03,12403
nursesched-sprint02,2639
opm2-z10-s4,31992
opm2-z8-s0,14669
pb-grow22,21089
piperout-d27,39177
rail507,19107
reblock420,3264
rmatr200-p10,7633
rmatr200-p5,4978
rmine13,15627
rocII-5-11,7310
rocII-8-11,11991
roi5alpha10n8,9914
s100,70146
s250r10,5363
s55,30210
satellites2-25,10438
satellites2-40,11577
satellites2-60-fs,70316
savsched1,609
scpk4,1234
scpl4,1107
scpm1,1132
scpn2,1024
sct5,12189
seqsolve1,7849
seqsolve2short4288,2643
seqsolve3short4288excess384,17007
shipsched,25796
snip10x10-35r1budget17,3940
sorrell3,39
sorrell4,46
sorrell7,41
sp97ar,1198
sp97ic,1061
sp98ic,56689
splice1k1,12877
square31,84089
stockholm,20664
supportcase10,35812
supportcase12,19232
supportcase2,574
supportcase23,3684
supportcase39,6505
supportcase40,7556
supportcase41,1178
supportcase43,349
t1717,28395
t1722,36448
tanglegram4,524
tbfp-network,8016
thor50dday,12005
tpl-tub-ss16,65862
uccase12,44673
uccase7,23601
uccase8,27089
uccase9,2175
usafa,1630
v150d30-2hopcds,1035
van,1830
vpphard,1060
wnq-n100-mw99-14,7918
woodlands09,3088
z26,3356
