Instance;iters;time;rel_primal_res;rel_dual_res;rel_opt_gap;termination
opm2-z10-s4;47792;150,72310495376587;9,993122599104298e-07;0,0;7,922042669989655e-08;OPTIMAL
pb-grow22;101780;600,0017340183258;2,150960902634962e-05;0,0;3,461459518313221e-08;TIME_LIMIT
piperout-d27;47674;361,96974205970764;9,845096811916901e-10;0,0;9,964723290440068e-07;OPTIMAL
rail507;25594;105,55852699279785;3,9020840483272384e-09;0,0;9,997558712780122e-07;OPTIMAL
s55;71169;529,2557609081268;8,668583909599459e-09;0,0;3,5570663678962023e-07;OPTIMAL
satellites2-25;23038;76,79309701919556;1,4432637574434952e-12;1,1326838257203046e-13;9,958526828839692e-07;OPTIMAL
scpl4;29255;96,62813591957092;1,01001919106114e-07;0,0;8,824825381754239e-07;OPTIMAL
sct5;27076;204,82726097106934;1,0090384635774104e-07;3,203065034453263e-10;2,218070457525758e-07;OPTIMAL
sorrell3;39;0,10486602783203125;7,201824743230389e-07;0,0;7,21429165624793e-08;OPTIMAL
sorrell4;46;0,1346111297607422;6,913674590602881e-07;0,0;2,6092035803204466e-08;OPTIMAL
sorrell7;41;0,10926008224487305;1,795126747250464e-08;0,0;1,649548518092315e-09;OPTIMAL
sp97ic;32214;244,61682415008545;9,916835195190842e-07;0,0;3,5674565561667723e-07;OPTIMAL
square31;56731;187,15078711509705;2,635630883540685e-07;1,3953342556836937e-07;9,979009130910017e-07;OPTIMAL
supportcase10;32843;218,31143283843994;1,0319466688280463e-07;0,0;9,729995557134794e-07;OPTIMAL
supportcase43;349;1,1362080574035645;1,8417463613972655e-09;0,0;8,650910507017204e-07;OPTIMAL
t1717;88322;600,0005879402161;1,8105704752691132e-06;0,0;1,2590500974640217e-07;TIME_LIMIT
tpl-tub-ss16;82876;461,87456011772156;1,3391124738444058e-07;0,0;3,2312263718052825e-08;OPTIMAL
uccase7;20243;75,85362195968628;9,99988234909813e-07;2,559981797605396e-08;7,048253325287295e-07;OPTIMAL
uccase9;29296;224,14203691482544;9,96360771282002e-07;3,9981654828836525e-08;4,677625699530645e-07;OPTIMAL
van;34409;259,9501190185547;1,0184495672827595e-09;0,0;9,631753515156465e-07;OPTIMAL
