Instance;cuPDLP; a-indep,
tanglegram4;3,8227250576019287;3,8227250576019287
tbfp-network;83,85585594177246;83,85585594177246
thor50dday;28,639315843582153;28,639315843582153
tpl-tub-ss16;336,41362500190735;336,41362500190735
tpl-tub-ws1617;600,0032510757446;600,0032510757446
triptim1;600,0022931098938;600,0022931098938
triptim2;600,0027048587799;600,0027048587799
triptim4;600,0028359889984;600,0028359889984
triptim7;600,0023379325867;600,0023379325867
triptim8;600,006443977356;600,006443977356
uccase12;387,23610186576843;387,23610186576843
uccase7;141,82401394844055;141,82401394844055
uccase8;179,98159408569336;179,98159408569336
uccase9;182,4063229560852;182,4063229560852
unitcal_7;600,001620054245;600,001620054245
usafa;80,13478803634644;80,13478803634644
v150d30-2hopcds;12,065285921096802;12,065285921096802
van;464,17401599884033;464,17401599884033
vpphard;10,599744081497192;10,599744081497192
wnq-n100-mw99-14;81,52844595909119;81,52844595909119
woodlands09;21,30100917816162;21,30100917816162
z26;12,461279153823853;12,461279153823853
zeil;600,0029928684235;600,0029928684235
