instance,IR,alpha,KKT,success,time,k_iters,D1_maxcn,D2_maxcn
ds-big,0,0.0,1.4390626604038792e-05,0,628.0690050125122,0,1.0,1.0
ds-big,1,0.0001,1.185067503902165e-05,0,604.5739340782166,2,1.0,1.0
ds-big,1,1.001,3.523813943008927e-06,0,604.0757639408112,2,1.0,1.0
ds-big,1,1.01,0.00012171168870651764,0,604.9515478610992,2,1.0,1.0
ds-big,1,1.1,0.00034398714211298167,0,604.6456589698792,2,1.0,1.0
ds-big,1,1.5,6.041657600056661e-06,0,604.5939419269562,2,1.0,1.0
graph40-80-1rand,0,0.0,2.8620730584507633e-09,1,15.432340860366821,0,1.0,1.0
graph40-80-1rand,1,1.001,1.2379470075552896e-11,1,34.90418720245361,1,1.0,1.0
graph40-80-1rand,1,1.01,1.5030978334566163e-11,1,34.7777841091156,1,1.0,1.0
graph40-80-1rand,1,1.1,1.5329248087480352e-11,1,35.09908199310303,1,1.0,1.0
graph40-80-1rand,1,1.5,2.7281992542404986e-12,1,34.700989961624146,1,1.0,1.0
neos-4647030-tutaki,0,0.0,3.4246277667080315e-08,1,26.01792001724243,0,1.0,1.0
neos-4647030-tutaki,1,1.001,2.096162568403783e-13,1,27.893211126327515,1,1.0,1.0
neos-4647030-tutaki,1,1.01,1.3017612561318752e-12,1,28.494017839431763,1,1.0,1.0
neos-4647030-tutaki,1,1.1,3.9541137607403837e-14,1,27.8438138961792,1,1.0,1.0
neos-4647030-tutaki,1,1.5,1.8587810028375259e-13,1,29.507241010665894,1,1.0,1.0
neos-5049753-cuanza,1,1.001,7.113425083090166e-10,1,10.267345905303955,1,1.0,1.0
neos-5049753-cuanza,1,1.01,7.852430806034292e-10,1,10.157119989395142,1,1.0,1.0
neos-5049753-cuanza,1,1.1,5.76647561923593e-10,1,10.347970962524414,1,1.0,1.0
neos-5049753-cuanza,1,1.5,3.863231566505274e-10,1,10.260638952255249,1,1.0,1.0
neos-5129192-manaia,0,0.0,2.185555664070442e-08,1,10.530591011047363,0,1.0,1.0
neos-5129192-manaia,1,1.001,2.3723680145070848e-08,0,604.9403400421143,3,1.0,1.0
neos-5129192-manaia,1,1.01,1.0208685507489036e-08,0,605.1570949554443,3,1.0,1.0
neos-5129192-manaia,1,1.1,2.3110673988449752e-08,0,604.9891939163208,3,1.0,1.0
neos-5129192-manaia,1,1.5,3.528027913441719e-08,0,605.0662100315094,3,1.0,1.0
seqsolve1,1,1.001,5.702599583357271e-08,0,602.9970598220825,2,1.0,1.0
seqsolve1,1,1.01,5.8317947586871614e-08,0,602.9951560497284,2,1.0,1.0
seqsolve1,1,1.1,5.541323178871998e-08,0,603.0217971801758,2,1.0,1.0
